pvm lämpötila
7.2.2015 -6 C
7.2.2015 -6 C
7.2.2015 -6 C
7.2.2015 -6 C
7.2.2015 -7 C
7.2.2015 -7 C
8.2.2015 -5 C
8.2.2015 -5 C
8.2.2015 -6 C
8.2.2015 -6 C
8.2.2015 -6 C
8.2.2015 -7 C
8.2.2015 -8 C
8.2.2015 -8 C
8.2.2015 -9 C
8.2.2015 -8 C
8.2.2015 -8 C
8.2.2015 -8 C
8.2.2015 -8 C
8.2.2015 -8 C
8.2.2015 -11 C
8.2.2015 -12 C
8.2.2015 -13 C
8.2.2015 -17 C
8.2.2015 -14 C
8.2.2015 -14 C
8.2.2015 -19 C
8.2.2015 -17 C
8.2.2015 -19 C
8.2.2015 -18 C
9.2.2015 -18 C
9.2.2015 -19 C
9.2.2015 -20 C
9.2.2015 -18 C
9.2.2015 -16 C
9.2.2015 -15 C
9.2.2015 -14 C
9.2.2015 -13 C
9.2.2015 -13 C
9.2.2015 -12 C
9.2.2015 -10 C
9.2.2015 -9 C
9.2.2015 -8 C
9.2.2015 -7 C
9.2.2015 -7 C
9.2.2015 -6 C
9.2.2015 -6 C
9.2.2015 -5 C
9.2.2015 -4 C
9.2.2015 -3 C
9.2.2015 -2 C
9.2.2015 -2 C
9.2.2015 -3 C
9.2.2015 -2 C
10.2.2015 0 C
10.2.2015 1 C
10.2.2015 1 C
10.2.2015 1 C
10.2.2015 2 C
10.2.2015 2 C
10.2.2015 2 C
10.2.2015 2 C
10.2.2015 3 C
10.2.2015 4 C
10.2.2015 3 C
10.2.2015 4 C
10.2.2015 4 C
10.2.2015 3 C
10.2.2015 3 C
10.2.2015 2 C
10.2.2015 1 C
10.2.2015 1 C
10.2.2015 2 C
10.2.2015 3 C
10.2.2015 3 C
10.2.2015 3 C
10.2.2015 3 C
10.2.2015 3 C
11.2.2015 2 C
11.2.2015 3 C
11.2.2015 3 C
11.2.2015 3 C
11.2.2015 2 C
11.2.2015 1 C
11.2.2015 1 C
11.2.2015 1 C
11.2.2015 1 C
11.2.2015 2 C
11.2.2015 2 C
11.2.2015 3 C
11.2.2015 2 C
11.2.2015 2 C
11.2.2015 2 C
11.2.2015 2 C
11.2.2015 2 C
11.2.2015 2 C
11.2.2015 2 C
11.2.2015 2 C
11.2.2015 2 C
11.2.2015 2 C
11.2.2015 2 C
11.2.2015 2 C
12.2.2015 3 C
12.2.2015 3 C
12.2.2015 3 C
12.2.2015 3 C
12.2.2015 3 C
12.2.2015 2 C
12.2.2015 2 C
12.2.2015 2 C
12.2.2015 2 C
12.2.2015 2 C
12.2.2015 2 C
12.2.2015 2 C
12.2.2015 2 C
12.2.2015 1 C
12.2.2015 0 C
12.2.2015 -1 C
12.2.2015 -2 C
12.2.2015 -3 C
12.2.2015 -4 C
12.2.2015 -4 C
12.2.2015 -5 C
12.2.2015 -6 C
12.2.2015 -7 C
12.2.2015 -10 C
13.2.2015 -10 C
13.2.2015 -6 C
13.2.2015 -5 C
13.2.2015 -4 C
13.2.2015 -3 C
13.2.2015 -3 C
13.2.2015 -4 C
13.2.2015 -4 C
13.2.2015 -4 C
13.2.2015 -3 C
13.2.2015 -3 C
13.2.2015 -3 C
13.2.2015 -4 C
13.2.2015 -4 C
13.2.2015 -4 C
13.2.2015 -6 C
13.2.2015 -7 C
13.2.2015 -8 C
13.2.2015 -9 C
13.2.2015 -9 C
13.2.2015 -8 C
13.2.2015 -8 C
13.2.2015 -8 C
13.2.2015 -8 C
14.2.2015 -7 C
14.2.2015 -6 C
14.2.2015 -6 C
14.2.2015 -7 C
14.2.2015 -7 C
14.2.2015 -7 C
14.2.2015 -7 C
14.2.2015 -9 C
14.2.2015 -9 C
14.2.2015 -10 C
14.2.2015 -9 C
14.2.2015 -9 C
14.2.2015 -10 C
14.2.2015 -11 C
14.2.2015 -13 C
14.2.2015 -15 C
14.2.2015 -18 C
14.2.2015 -17 C
14.2.2015 -17 C
14.2.2015 -19 C
14.2.2015 -18 C
14.2.2015 -18 C
14.2.2015 -18 C
14.2.2015 -18 C
15.2.2015 -21 C
15.2.2015 -24 C
15.2.2015 -23 C
15.2.2015 -25 C
15.2.2015 -26 C
15.2.2015 -26 C
15.2.2015 -26 C
15.2.2015 -27 C
15.2.2015 -21 C
15.2.2015 -19 C
15.2.2015 -18 C
15.2.2015 -16 C
15.2.2015 -15 C
15.2.2015 -13 C
15.2.2015 -11 C
15.2.2015 -10 C
15.2.2015 -11 C
15.2.2015 -10 C
15.2.2015 -11 C
15.2.2015 -11 C
15.2.2015 -11 C
15.2.2015 -10 C
